Date,Invoice#,Order Number,Customer Id,Status,Due Date,Amount,Balance Due
05-Oct-22,INV-000001,,1,Paid,15-Oct-22,"€1.363,64","€0,00"
01-Nov-22,INV-000002,,1,Paid,11-Nov-22,"€3.000,00","€0,00"
01-Dec-22,INV-000003,,1,Paid,11-Dec-22,"€3.000,00","€0,00"
02-Jan-23,INV-000004,,1,Paid,12-Jan-23,"€3.000,00","€0,00"
01-Feb-23,INV-000005,,1,Paid,11-Feb-23,"€3.000,00","€0,00"
01-Mar-23,INV-000006,,1,Paid,11-Mar-23,"€5.437,00","€0,00"
04-Apr-23,INV-000007,,1,Paid,14-Apr-23,"€3.000,00","€0,00"
03-May-23,INV-000008,,1,Paid,13-May-23,"€3.000,00","€0,00"
01-Jun-23,INV-000009,,1,Paid,11-Jun-23,"€3.000,00","€0,00"
02-Jul-23,INV-000010,,1,Paid,12-Jul-23,"€3.000,00","€0,00"
02-Aug-23,INV-000011,,1,Paid,12-Aug-23,"€3.000,00","€0,00"
04-Sep-23,INV-000012,,1,Paid,14-Sep-23,"€3.000,00","€0,00"
02-Oct-23,INV-000013,,1,Paid,12-Oct-23,"€3.000,00","€0,00"
01-Nov-23,INV-000014,,1,Paid,11-Nov-23,"€3.500,00","€0,00"
04-Dec-23,INV-000015,,1,Paid,14-Dec-23,"€3.500,00","€0,00"
01-Oct-23,INV-000017,,2,Paid,11-Oct-23,"€548,41","€0,00"
01-Nov-23,INV-000018,,2,Paid,11-Nov-23,"€455,20","€0,00"
01-Jan-24,INV-000019,,1,Paid,11-Jan-24,"€3.500,00","€0,00"
01-Dec-23,INV-000020,,2,Paid,11-Dec-23,"€450,58","€0,00"
01-Jan-24,INV-000021,,2,Paid,11-Jan-24,"€631,26","€0,00"
01-Feb-24,INV-000022,,1,Paid,11-Feb-24,"€3.500,00","€0,00"
15-Feb-24,INV-000023,,2,Paid,25-Feb-24,"€640,39","€0,00"
01-Mar-24,INV-000024,,1,Paid,11-Mar-24,"€3.500,00","€0,00"
15-Mar-24,INV-000025,,2,Paid,25-Mar-24,"€632,09","€0,00"
02-Apr-24,INV-000026,,1,Paid,12-Apr-24,"€3.500,00","€0,00"
16-Apr-24,INV-000027,,2,Paid,26-Apr-24,"€650,04","€0,00"
01-May-24,INV-000028,,1,Paid,11-May-24,"€3.500,00","€0,00"
16-May-24,INV-000029,,2,Paid,26-May-24,"€640,51","€0,00"
04-Jun-24,INV-000030,,1,Paid,14-Jun-24,"€3.500,00","€0,00"
16-Jun-24,INV-000031,,2,Paid,26-Jun-24,"€648,16","€0,00"
01-Jul-24,INV-000032,,1,Paid,11-Jul-24,"€3.500,00","€0,00"
16-Jul-24,INV-000033,,2,Paid,26-Jul-24,"€637,17","€0,00"
05-Aug-24,INV-000034,,1,Paid,15-Aug-24,"€3.500,00","€0,00"
15-Aug-24,INV-000035,,2,Paid,25-Aug-24,"€439,72","€0,00"
02-Sep-24,INV-000036,,1,Paid,12-Sep-24,"€3.500,00","€0,00"
15-Sep-24,INV-000037,,2,Paid,25-Sep-24,"€97,85","€0,00"
01-Oct-24,INV-000038,,1,Paid,11-Oct-24,"€3.600,00","€0,00"
01-Nov-24,INV-000039,,1,Paid,11-Nov-24,"€3.500,00","€0,00"
01-Dec-24,INV-000040,,1,Paid,11-Dec-24,"€3.500,00","€0,00"
01-Jan-25,INV-000041,,1,Paid,11-Jan-25,"€3.500,00","€0,00"
03-Feb-25,INV-000042,,1,Paid,10-Feb-25,"€3.500,00","€0,00"
03-Mar-25,INV-000043,,1,Paid,13-Mar-25,"€3.500,00","€0,00"
01-Apr-25,INV-000044,,1,Paid,10-Apr-25,"€4.071,00","€0,00"
02-May-25,INV-000045,,1,Paid,10-May-25,"€4.000,00","€0,00"
02-Jun-25,INV-000046,,1,Paid,10-Jun-25,"€4.000,00","€0,00"
01-Jul-25,INV-000047,,1,Paid,10-Jul-25,"€4.000,00","€0,00"
01-Aug-25,INV-000048,,1,Paid,10-Aug-25,"€4.000,00","€0,00"
01-Sep-25,INV-000049,,1,Sent,10-Sep-25,"€4.000,00","€4.000,00"
